,count,mean,std,min,25%,50%,75%,max
Tot_Benes,292663.0,83.39907675380898,1182.3784611241651,11.0,17.0,31.0,71.0,455358.0
Tot_Srvcs,292663.0,273.6466174405374,8973.530455883,11.0,20.0,42.0,114.0,3643111.0
Tot_Bene_Day_Srvcs,292663.0,131.65112433071485,1561.3636893601772,11.0,20.0,39.0,102.0,455392.0
Avg_Sbmtd_Chrg,292663.0,400.15706043238896,1401.8906154374772,0.0001666667,69.5575844375,167.0,343.0,99999.99
Avg_Mdcr_Alowd_Amt,292663.0,105.32470648853553,334.35307370249484,0.0001666667,27.3775,68.54,120.695696035,52799.051765
Avg_Mdcr_Pymt_Amt,292663.0,82.19997742686935,266.9112065974161,0.0,21.401766234,52.300428571,89.12719607849999,42147.706471
Avg_Mdcr_Stdzd_Amt,292663.0,81.29637467605518,270.08321031657744,0.0001574074,19.56140975,52.91,88.44,41679.064118
Services_Per_Beneficiary,292663.0,4.65258141636319,69.76918539047037,0.9885057471264368,1.0,1.0666666666666667,1.4444444444444444,19119.565217391304
Payment_to_Charge_Ratio,292663.0,0.32180213201765334,0.20471594517073768,0.0,0.1808789250595912,0.27612881543541556,0.40830072002874995,2.04017717151897
